event_id,timestamp,event_type,username,source_ip,destination_ip,destination_port,protocol,action,success,country
EVT-0080,2026-08-17 11:06:00,authentication,lwilson,10.0.1.12,,,,login,True,UK
EVT-0634,2026-08-17 11:21:13,network,,10.0.1.11,10.0.2.13,80.0,TCP,connection,True,
EVT-0147,2026-08-17 11:35:00,authentication,jsmith,10.0.1.14,,,,login,True,UK
EVT-0142,2026-08-17 12:03:00,authentication,agarcia,10.0.1.11,,,,login,True,UK
EVT-0311,2026-08-17 12:03:00,authentication,agarcia,10.0.1.14,,,,login,True,UK
EVT-0687,2026-08-17 12:08:12,network,,10.0.1.12,10.0.2.13,443.0,TCP,connection,True,
EVT-0228,2026-08-17 12:11:00,authentication,lwilson,10.0.1.11,,,,login,True,UK
EVT-0485,2026-08-17 12:19:00,network,,10.0.1.13,10.0.2.12,443.0,TCP,connection,True,
EVT-0082,2026-08-17 12:45:00,authentication,agarcia,10.0.1.14,,,,login,True,UK
EVT-0376,2026-08-17 12:45:21,network,,10.0.1.13,10.0.2.13,53.0,TCP,connection,True,
EVT-0324,2026-08-17 12:48:00,authentication,mthomas,10.0.1.12,,,,login,True,UK
EVT-0006,2026-08-17 13:05:00,authentication,agarcia,10.0.1.12,,,,login,True,UK
EVT-0130,2026-08-17 13:31:00,authentication,mthomas,10.0.1.11,,,,login,True,UK
EVT-0037,2026-08-17 13:32:00,authentication,jsmith,10.0.1.13,,,,login,True,UK
EVT-0287,2026-08-17 13:37:00,authentication,agarcia,10.0.1.12,,,,login,True,UK
EVT-0214,2026-08-17 14:08:00,authentication,admin01,10.0.1.10,,,,login,False,UK
EVT-0306,2026-08-17 14:23:00,authentication,agarcia,10.0.1.12,,,,login,True,UK
EVT-0048,2026-08-17 14:24:00,authentication,agarcia,10.0.1.13,,,,login,True,UK
EVT-0155,2026-08-17 14:34:00,authentication,agarcia,10.0.1.11,,,,login,True,UK
EVT-0314,2026-08-17 14:39:00,authentication,admin01,10.0.1.14,,,,login,True,UK
EVT-0304,2026-08-17 14:58:00,authentication,agarcia,10.0.1.13,,,,login,True,UK
EVT-0215,2026-08-17 15:06:00,authentication,admin01,10.0.1.14,,,,login,True,UK
EVT-0597,2026-08-17 15:08:12,network,,10.0.1.13,10.0.2.12,22.0,TCP,connection,True,
EVT-0208,2026-08-17 15:09:00,authentication,jsmith,10.0.1.11,,,,login,True,UK
EVT-0547,2026-08-17 15:24:05,network,,10.0.1.10,10.0.2.10,80.0,TCP,connection,True,
EVT-0296,2026-08-17 15:26:00,authentication,agarcia,10.0.1.11,,,,login,True,UK
EVT-0556,2026-08-17 15:31:40,network,,10.0.1.14,10.0.2.10,22.0,TCP,connection,True,
EVT-0028,2026-08-17 15:38:00,authentication,lwilson,10.0.1.10,,,,login,True,UK
EVT-0248,2026-08-17 15:38:00,authentication,lwilson,10.0.1.12,,,,login,True,UK
EVT-0212,2026-08-17 15:39:00,authentication,agarcia,10.0.1.14,,,,login,True,UK
EVT-0173,2026-08-17 15:41:00,authentication,jsmith,10.0.1.13,,,,login,True,UK
EVT-0062,2026-08-17 15:42:00,authentication,lwilson,10.0.1.12,,,,login,True,UK
EVT-0051,2026-08-17 15:47:00,authentication,lwilson,10.0.1.10,,,,login,True,UK
EVT-0045,2026-08-17 16:03:00,authentication,mthomas,10.0.1.14,,,,login,True,UK
EVT-0059,2026-08-17 16:04:00,authentication,lwilson,10.0.1.14,,,,login,True,UK
EVT-0152,2026-08-17 16:10:00,authentication,agarcia,10.0.1.13,,,,login,False,UK
EVT-0626,2026-08-17 16:13:15,network,,10.0.1.10,10.0.2.12,80.0,TCP,connection,True,
EVT-0210,2026-08-17 16:29:00,authentication,admin01,10.0.1.12,,,,login,True,UK
EVT-0172,2026-08-17 16:35:00,authentication,admin01,10.0.1.11,,,,login,True,UK
EVT-0450,2026-08-17 16:35:59,network,,10.0.1.14,10.0.2.13,80.0,TCP,connection,True,
EVT-0002,2026-08-17 16:37:00,authentication,jsmith,10.0.1.10,,,,login,True,UK
EVT-0150,2026-08-17 16:39:00,authentication,lwilson,10.0.1.10,,,,login,True,UK
EVT-0302,2026-08-17 16:45:00,authentication,admin01,10.0.1.10,,,,login,True,UK
EVT-0229,2026-08-17 16:47:00,authentication,mthomas,10.0.1.13,,,,login,False,UK
EVT-0053,2026-08-17 16:54:00,authentication,jsmith,10.0.1.14,,,,login,True,UK
EVT-0348,2026-08-17 17:04:00,authentication,agarcia,10.0.1.13,,,,login,True,UK
EVT-0030,2026-08-17 17:05:00,authentication,agarcia,10.0.1.10,,,,login,True,UK
EVT-0562,2026-08-17 17:05:32,network,,10.0.1.11,10.0.2.11,80.0,TCP,connection,True,
EVT-0469,2026-08-17 17:10:36,network,,10.0.1.11,10.0.2.13,80.0,TCP,connection,True,
EVT-0480,2026-08-17 17:26:24,network,,10.0.1.10,10.0.2.11,53.0,TCP,connection,True,
EVT-0662,2026-08-17 17:45:32,network,,10.0.1.13,10.0.2.11,22.0,TCP,connection,True,
EVT-0693,2026-08-17 18:48:53,network,,10.0.1.14,10.0.2.11,22.0,TCP,connection,True,
EVT-0462,2026-08-17 19:25:29,network,,10.0.1.14,10.0.2.11,53.0,TCP,connection,True,
EVT-0479,2026-08-17 19:35:05,network,,10.0.1.14,10.0.2.12,443.0,TCP,connection,True,
EVT-0618,2026-08-17 19:45:42,network,,10.0.1.13,10.0.2.10,80.0,TCP,connection,True,
EVT-0668,2026-08-17 20:03:10,network,,10.0.1.14,10.0.2.11,53.0,TCP,connection,True,
EVT-0371,2026-08-17 20:03:36,network,,10.0.1.14,10.0.2.11,80.0,TCP,connection,True,
EVT-0581,2026-08-17 21:01:14,network,,10.0.1.14,10.0.2.12,22.0,TCP,connection,True,
EVT-0637,2026-08-17 21:05:18,network,,10.0.1.14,10.0.2.13,53.0,TCP,connection,True,
EVT-0648,2026-08-17 21:05:43,network,,10.0.1.13,10.0.2.11,53.0,TCP,connection,True,
EVT-0540,2026-08-17 21:12:44,network,,10.0.1.11,10.0.2.12,53.0,TCP,connection,True,
EVT-0471,2026-08-17 21:14:53,network,,10.0.1.10,10.0.2.12,443.0,TCP,connection,True,
EVT-0396,2026-08-17 21:21:45,network,,10.0.1.13,10.0.2.10,53.0,TCP,connection,True,
EVT-0664,2026-08-17 22:03:58,network,,10.0.1.12,10.0.2.11,80.0,TCP,connection,True,
EVT-0384,2026-08-17 22:20:26,network,,10.0.1.11,10.0.2.13,53.0,TCP,connection,True,
EVT-0500,2026-08-17 23:06:18,network,,10.0.1.13,10.0.2.10,22.0,TCP,connection,True,
EVT-0518,2026-08-17 23:08:12,network,,10.0.1.13,10.0.2.13,443.0,TCP,connection,True,
EVT-0682,2026-08-17 23:08:47,network,,10.0.1.12,10.0.2.11,80.0,TCP,connection,True,
EVT-0615,2026-08-18 00:30:00,network,,10.0.1.12,10.0.2.11,53.0,TCP,connection,True,
EVT-0590,2026-08-18 01:22:49,network,,10.0.1.11,10.0.2.13,80.0,TCP,connection,True,
EVT-0441,2026-08-18 01:46:53,network,,10.0.1.11,10.0.2.10,80.0,TCP,connection,True,
EVT-0397,2026-08-18 01:59:10,network,,10.0.1.13,10.0.2.13,443.0,TCP,connection,True,
EVT-0520,2026-08-18 02:01:50,network,,10.0.1.11,10.0.2.12,22.0,TCP,connection,True,
EVT-0416,2026-08-18 02:07:03,network,,10.0.1.14,10.0.2.11,53.0,TCP,connection,True,
EVT-0586,2026-08-18 02:36:03,network,,10.0.1.13,10.0.2.11,53.0,TCP,connection,True,
EVT-0474,2026-08-18 03:18:51,network,,10.0.1.11,10.0.2.10,22.0,TCP,connection,True,
EVT-0533,2026-08-18 04:50:56,network,,10.0.1.10,10.0.2.13,80.0,TCP,connection,True,
EVT-0395,2026-08-18 05:57:33,network,,10.0.1.11,10.0.2.11,22.0,TCP,connection,True,
EVT-0360,2026-08-18 06:03:10,network,,10.0.1.13,10.0.2.13,443.0,TCP,connection,True,
EVT-0504,2026-08-18 06:07:01,network,,10.0.1.12,10.0.2.10,53.0,TCP,connection,True,
EVT-0566,2026-08-18 06:08:44,network,,10.0.1.10,10.0.2.11,443.0,TCP,connection,True,
EVT-0146,2026-08-18 07:09:00,authentication,lwilson,10.0.1.12,,,,login,True,UK
EVT-0405,2026-08-18 07:21:50,network,,10.0.1.12,10.0.2.11,53.0,TCP,connection,True,
EVT-0524,2026-08-18 07:53:41,network,,10.0.1.11,10.0.2.12,22.0,TCP,connection,True,
EVT-0408,2026-08-18 08:16:24,network,,10.0.1.11,10.0.2.13,80.0,TCP,connection,True,
EVT-0105,2026-08-18 08:53:00,authentication,mthomas,10.0.1.14,,,,login,True,UK
EVT-0250,2026-08-18 08:55:00,authentication,admin01,10.0.1.13,,,,login,True,UK
EVT-0271,2026-08-18 09:16:00,authentication,agarcia,10.0.1.14,,,,login,True,UK
EVT-0086,2026-08-18 09:26:00,authentication,lwilson,10.0.1.13,,,,login,True,UK
EVT-0267,2026-08-18 09:27:00,authentication,mthomas,10.0.1.14,,,,login,True,UK
EVT-0031,2026-08-18 09:42:00,authentication,lwilson,10.0.1.14,,,,login,True,UK
EVT-0160,2026-08-18 09:43:00,authentication,jsmith,10.0.1.14,,,,login,True,UK
EVT-0272,2026-08-18 09:49:00,authentication,agarcia,10.0.1.13,,,,login,True,UK
EVT-0342,2026-08-18 09:54:00,authentication,agarcia,10.0.1.11,,,,login,False,UK
EVT-0016,2026-08-18 09:58:00,authentication,admin01,10.0.1.12,,,,login,True,UK
EVT-0103,2026-08-18 10:14:00,authentication,jsmith,10.0.1.11,,,,login,True,UK
EVT-0050,2026-08-18 10:18:00,authentication,mthomas,10.0.1.10,,,,login,True,UK
EVT-0261,2026-08-18 10:24:00,authentication,mthomas,10.0.1.11,,,,login,True,UK
EVT-0192,2026-08-18 10:33:00,authentication,mthomas,10.0.1.11,,,,login,True,UK
EVT-0245,2026-08-18 10:42:00,authentication,lwilson,10.0.1.10,,,,login,True,UK
EVT-0593,2026-08-18 10:45:15,network,,10.0.1.12,10.0.2.13,22.0,TCP,connection,True,
EVT-0346,2026-08-18 10:50:00,authentication,agarcia,10.0.1.12,,,,login,True,UK
EVT-0295,2026-08-18 10:53:00,authentication,agarcia,10.0.1.14,,,,login,True,UK
EVT-0092,2026-08-18 11:01:00,authentication,agarcia,10.0.1.13,,,,login,False,UK
EVT-0292,2026-08-18 11:08:00,authentication,mthomas,10.0.1.12,,,,login,True,UK
EVT-0589,2026-08-18 11:10:28,network,,10.0.1.13,10.0.2.12,443.0,TCP,connection,True,
EVT-0404,2026-08-18 11:21:10,network,,10.0.1.13,10.0.2.12,53.0,TCP,connection,True,
EVT-0003,2026-08-18 11:32:00,authentication,jsmith,10.0.1.14,,,,login,True,UK
EVT-0043,2026-08-18 11:34:00,authentication,agarcia,10.0.1.13,,,,login,True,UK
EVT-0139,2026-08-18 11:47:00,authentication,agarcia,10.0.1.14,,,,login,True,UK
EVT-0018,2026-08-18 12:15:00,authentication,agarcia,10.0.1.14,,,,login,True,UK
EVT-0088,2026-08-18 12:27:00,authentication,admin01,10.0.1.14,,,,login,True,UK
EVT-0061,2026-08-18 12:28:00,authentication,admin01,10.0.1.12,,,,login,True,UK
EVT-0202,2026-08-18 12:40:00,authentication,lwilson,10.0.1.12,,,,login,True,UK
EVT-0531,2026-08-18 12:45:20,network,,10.0.1.11,10.0.2.13,443.0,TCP,connection,True,
EVT-0189,2026-08-18 12:47:00,authentication,agarcia,10.0.1.10,,,,login,True,UK
EVT-0067,2026-08-18 12:47:00,authentication,agarcia,10.0.1.13,,,,login,True,UK
EVT-0223,2026-08-18 13:08:00,authentication,jsmith,10.0.1.11,,,,login,True,UK
EVT-0602,2026-08-18 13:17:17,network,,10.0.1.13,10.0.2.11,22.0,TCP,connection,True,
EVT-0141,2026-08-18 13:19:00,authentication,agarcia,10.0.1.14,,,,login,False,UK
EVT-0219,2026-08-18 13:28:00,authentication,jsmith,10.0.1.11,,,,login,True,UK
EVT-0622,2026-08-18 13:46:00,network,,10.0.1.14,10.0.2.13,22.0,TCP,connection,True,
EVT-0430,2026-08-18 14:04:06,network,,10.0.1.14,10.0.2.10,443.0,TCP,connection,True,
EVT-0095,2026-08-18 14:11:00,authentication,jsmith,10.0.1.14,,,,login,True,UK
EVT-0205,2026-08-18 14:12:00,authentication,admin01,10.0.1.14,,,,login,True,UK
EVT-0451,2026-08-18 14:21:14,network,,10.0.1.13,10.0.2.11,443.0,TCP,connection,True,
EVT-0288,2026-08-18 14:38:00,authentication,admin01,10.0.1.10,,,,login,True,UK
EVT-0126,2026-08-18 14:46:00,authentication,agarcia,10.0.1.12,,,,login,True,UK
EVT-0039,2026-08-18 14:50:00,authentication,lwilson,10.0.1.13,,,,login,True,UK
EVT-0112,2026-08-18 14:55:00,authentication,jsmith,10.0.1.10,,,,login,True,UK
EVT-0663,2026-08-18 14:56:53,network,,10.0.1.11,10.0.2.10,53.0,TCP,connection,True,
EVT-0190,2026-08-18 15:44:00,authentication,jsmith,10.0.1.10,,,,login,True,UK
EVT-0129,2026-08-18 15:48:00,authentication,admin01,10.0.1.14,,,,login,True,UK
EVT-0047,2026-08-18 15:55:00,authentication,mthomas,10.0.1.10,,,,login,True,UK
EVT-0196,2026-08-18 16:04:00,authentication,admin01,10.0.1.12,,,,login,True,UK
EVT-0027,2026-08-18 16:09:00,authentication,lwilson,10.0.1.11,,,,login,True,UK
EVT-0440,2026-08-18 16:13:21,network,,10.0.1.10,10.0.2.13,80.0,TCP,connection,True,
EVT-0298,2026-08-18 16:19:00,authentication,agarcia,10.0.1.13,,,,login,True,UK
EVT-0655,2026-08-18 16:25:09,network,,10.0.1.14,10.0.2.13,22.0,TCP,connection,True,
EVT-0224,2026-08-18 16:37:00,authentication,jsmith,10.0.1.11,,,,login,True,UK
EVT-0671,2026-08-18 16:38:51,network,,10.0.1.12,10.0.2.12,443.0,TCP,connection,True,
EVT-0553,2026-08-18 16:41:05,network,,10.0.1.11,10.0.2.12,22.0,TCP,connection,True,
EVT-0038,2026-08-18 16:46:00,authentication,agarcia,10.0.1.14,,,,login,True,UK
EVT-0148,2026-08-18 16:49:00,authentication,lwilson,10.0.1.13,,,,login,True,UK
EVT-0170,2026-08-18 16:59:00,authentication,admin01,10.0.1.13,,,,login,True,UK
EVT-0514,2026-08-18 17:07:11,network,,10.0.1.12,10.0.2.11,443.0,TCP,connection,True,
EVT-0213,2026-08-18 17:41:00,authentication,admin01,10.0.1.13,,,,login,False,UK
EVT-0009,2026-08-18 17:45:00,authentication,admin01,10.0.1.11,,,,login,False,UK
EVT-0301,2026-08-18 17:55:00,authentication,agarcia,10.0.1.13,,,,login,True,UK
EVT-0434,2026-08-18 17:56:09,network,,10.0.1.14,10.0.2.11,443.0,TCP,connection,True,
EVT-0444,2026-08-18 18:19:58,network,,10.0.1.10,10.0.2.11,53.0,TCP,connection,True,
EVT-0417,2026-08-18 18:54:33,network,,10.0.1.13,10.0.2.10,53.0,TCP,connection,True,
EVT-0688,2026-08-18 18:55:45,network,,10.0.1.11,10.0.2.10,443.0,TCP,connection,True,
EVT-0473,2026-08-18 19:35:24,network,,10.0.1.13,10.0.2.11,443.0,TCP,connection,True,
EVT-0698,2026-08-18 20:01:14,network,,10.0.1.11,10.0.2.11,53.0,TCP,connection,True,
EVT-0536,2026-08-18 21:52:13,network,,10.0.1.13,10.0.2.12,80.0,TCP,connection,True,
EVT-0575,2026-08-18 21:58:46,network,,10.0.1.12,10.0.2.12,22.0,TCP,connection,True,
EVT-0363,2026-08-18 22:07:17,network,,10.0.1.13,10.0.2.11,53.0,TCP,connection,True,
EVT-0387,2026-08-18 22:58:34,network,,10.0.1.12,10.0.2.12,80.0,TCP,connection,True,
EVT-0614,2026-08-18 23:02:05,network,,10.0.1.10,10.0.2.11,53.0,TCP,connection,True,
EVT-0686,2026-08-19 00:07:55,network,,10.0.1.13,10.0.2.12,443.0,TCP,connection,True,
EVT-0583,2026-08-19 00:15:26,network,,10.0.1.13,10.0.2.10,53.0,TCP,connection,True,
EVT-0426,2026-08-19 01:25:33,network,,10.0.1.11,10.0.2.11,22.0,TCP,connection,True,
EVT-0368,2026-08-19 02:22:03,network,,10.0.1.10,10.0.2.12,443.0,TCP,connection,True,
EVT-0532,2026-08-19 02:40:17,network,,10.0.1.13,10.0.2.13,443.0,TCP,connection,True,
EVT-0617,2026-08-19 02:45:58,network,,10.0.1.11,10.0.2.10,80.0,TCP,connection,True,
EVT-0527,2026-08-19 03:08:50,network,,10.0.1.11,10.0.2.11,22.0,TCP,connection,True,
EVT-0623,2026-08-19 03:20:58,network,,10.0.1.14,10.0.2.11,22.0,TCP,connection,True,
EVT-0375,2026-08-19 03:32:25,network,,10.0.1.14,10.0.2.10,22.0,TCP,connection,True,
EVT-0461,2026-08-19 03:33:16,network,,10.0.1.12,10.0.2.12,443.0,TCP,connection,True,
EVT-0456,2026-08-19 04:14:04,network,,10.0.1.11,10.0.2.10,53.0,TCP,connection,True,
EVT-0599,2026-08-19 04:28:51,network,,10.0.1.11,10.0.2.10,80.0,TCP,connection,True,
EVT-0610,2026-08-19 05:15:17,network,,10.0.1.14,10.0.2.10,53.0,TCP,connection,True,
EVT-0356,2026-08-19 05:39:46,network,,10.0.1.14,10.0.2.12,22.0,TCP,connection,True,
EVT-0620,2026-08-19 06:35:44,network,,10.0.1.14,10.0.2.12,53.0,TCP,connection,True,
EVT-0632,2026-08-19 07:04:35,network,,10.0.1.10,10.0.2.12,443.0,TCP,connection,True,
EVT-0276,2026-08-19 07:32:00,authentication,lwilson,10.0.1.13,,,,login,False,UK
EVT-0429,2026-08-19 07:48:07,network,,10.0.1.10,10.0.2.13,22.0,TCP,connection,True,
EVT-0568,2026-08-19 07:49:55,network,,10.0.1.12,10.0.2.10,22.0,TCP,connection,True,
EVT-0401,2026-08-19 07:55:59,network,,10.0.1.12,10.0.2.10,22.0,TCP,connection,True,
EVT-0322,2026-08-19 08:12:00,authentication,mthomas,10.0.1.11,,,,login,False,UK
EVT-0657,2026-08-19 08:21:52,network,,10.0.1.12,10.0.2.12,80.0,TCP,connection,True,
EVT-0582,2026-08-19 08:48:42,network,,10.0.1.13,10.0.2.12,22.0,TCP,connection,True,
EVT-0340,2026-08-19 08:49:00,authentication,lwilson,10.0.1.13,,,,login,True,UK
EVT-0285,2026-08-19 09:06:00,authentication,admin01,10.0.1.13,,,,login,True,UK
EVT-0392,2026-08-19 09:18:45,network,,10.0.1.10,10.0.2.12,443.0,TCP,connection,True,
EVT-0255,2026-08-19 09:28:00,authentication,jsmith,10.0.1.13,,,,login,True,UK
EVT-0234,2026-08-19 09:38:00,authentication,jsmith,10.0.1.11,,,,login,True,UK
EVT-0120,2026-08-19 10:06:00,authentication,jsmith,10.0.1.12,,,,login,True,UK
EVT-0063,2026-08-19 10:07:00,authentication,jsmith,10.0.1.14,,,,login,True,UK
EVT-0646,2026-08-19 10:25:57,network,,10.0.1.10,10.0.2.11,22.0,TCP,connection,True,
EVT-0083,2026-08-19 10:27:00,authentication,lwilson,10.0.1.12,,,,login,False,UK
EVT-0249,2026-08-19 10:44:00,authentication,jsmith,10.0.1.12,,,,login,True,UK
EVT-0060,2026-08-19 10:56:00,authentication,admin01,10.0.1.11,,,,login,False,UK
EVT-0476,2026-08-19 11:05:00,network,,10.0.1.12,10.0.2.13,80.0,TCP,connection,True,
EVT-0074,2026-08-19 11:10:00,authentication,mthomas,10.0.1.10,,,,login,True,UK
EVT-0102,2026-08-19 11:21:00,authentication,admin01,10.0.1.14,,,,login,True,UK
EVT-0057,2026-08-19 11:25:00,authentication,admin01,10.0.1.12,,,,login,True,UK
EVT-0151,2026-08-19 11:42:00,authentication,agarcia,10.0.1.11,,,,login,True,UK
EVT-0131,2026-08-19 11:51:00,authentication,mthomas,10.0.1.12,,,,login,True,UK
EVT-0695,2026-08-19 12:06:24,network,,10.0.1.14,10.0.2.12,53.0,TCP,connection,True,
EVT-0240,2026-08-19 12:09:00,authentication,admin01,10.0.1.13,,,,login,True,UK
EVT-0517,2026-08-19 12:11:20,network,,10.0.1.13,10.0.2.10,80.0,TCP,connection,True,
EVT-0260,2026-08-19 12:20:00,authentication,agarcia,10.0.1.13,,,,login,True,UK
EVT-0475,2026-08-19 12:24:45,network,,10.0.1.11,10.0.2.13,80.0,TCP,connection,True,
EVT-0064,2026-08-19 12:38:00,authentication,agarcia,10.0.1.12,,,,login,True,UK
EVT-0351,2026-08-19 12:56:53,network,,10.0.1.14,10.0.2.11,53.0,TCP,connection,True,
EVT-0353,2026-08-19 13:10:20,network,,10.0.1.11,10.0.2.12,80.0,TCP,connection,True,
EVT-0291,2026-08-19 13:11:00,authentication,jsmith,10.0.1.12,,,,login,True,UK
EVT-0571,2026-08-19 13:16:49,network,,10.0.1.10,10.0.2.10,53.0,TCP,connection,True,
EVT-0411,2026-08-19 13:25:43,network,,10.0.1.14,10.0.2.12,22.0,TCP,connection,True,
EVT-0323,2026-08-19 13:32:00,authentication,jsmith,10.0.1.14,,,,login,True,UK
EVT-0332,2026-08-19 13:40:00,authentication,lwilson,10.0.1.10,,,,login,True,UK
EVT-0625,2026-08-19 13:40:56,network,,10.0.1.10,10.0.2.12,443.0,TCP,connection,True,
EVT-0667,2026-08-19 13:53:57,network,,10.0.1.12,10.0.2.10,80.0,TCP,connection,True,
EVT-0200,2026-08-19 14:00:00,authentication,jsmith,10.0.1.10,,,,login,True,UK
EVT-0153,2026-08-19 14:02:00,authentication,lwilson,10.0.1.12,,,,login,True,UK
EVT-0221,2026-08-19 14:12:00,authentication,jsmith,10.0.1.13,,,,login,True,UK
EVT-0113,2026-08-19 14:13:00,authentication,admin01,10.0.1.12,,,,login,True,UK
EVT-0579,2026-08-19 14:18:36,network,,10.0.1.12,10.0.2.11,443.0,TCP,connection,True,
EVT-0333,2026-08-19 14:32:00,authentication,jsmith,10.0.1.11,,,,login,True,UK
EVT-0690,2026-08-19 14:48:49,network,,10.0.1.11,10.0.2.11,443.0,TCP,connection,True,
EVT-0177,2026-08-19 14:59:00,authentication,admin01,10.0.1.12,,,,login,True,UK
EVT-0144,2026-08-19 15:11:00,authentication,mthomas,10.0.1.12,,,,login,True,UK
EVT-0521,2026-08-19 15:34:18,network,,10.0.1.11,10.0.2.13,443.0,TCP,connection,True,
EVT-0435,2026-08-19 16:03:35,network,,10.0.1.14,10.0.2.11,443.0,TCP,connection,True,
EVT-0209,2026-08-19 16:05:00,authentication,mthomas,10.0.1.10,,,,login,True,UK
EVT-0140,2026-08-19 16:06:00,authentication,lwilson,10.0.1.12,,,,login,True,UK
EVT-0631,2026-08-19 16:06:04,network,,10.0.1.12,10.0.2.11,443.0,TCP,connection,True,
EVT-0246,2026-08-19 16:07:00,authentication,admin01,10.0.1.14,,,,login,True,UK
EVT-0329,2026-08-19 16:20:00,authentication,agarcia,10.0.1.12,,,,login,True,UK
EVT-0157,2026-08-19 16:28:00,authentication,lwilson,10.0.1.12,,,,login,True,UK
EVT-0347,2026-08-19 16:29:00,authentication,lwilson,10.0.1.14,,,,login,True,UK
EVT-0587,2026-08-19 16:54:20,network,,10.0.1.13,10.0.2.12,80.0,TCP,connection,True,
EVT-0701,2026-08-19 17:00:00,authentication,jsmith,203.0.113.42,,,,login,False,UK
EVT-0702,2026-08-19 17:00:20,authentication,jsmith,203.0.113.42,,,,login,False,UK
EVT-0703,2026-08-19 17:00:40,authentication,jsmith,203.0.113.42,,,,login,False,UK
EVT-0704,2026-08-19 17:01:00,authentication,jsmith,203.0.113.42,,,,login,False,UK
EVT-0705,2026-08-19 17:01:20,authentication,jsmith,203.0.113.42,,,,login,False,UK
EVT-0706,2026-08-19 17:01:40,authentication,jsmith,203.0.113.42,,,,login,False,UK
EVT-0707,2026-08-19 17:02:00,authentication,jsmith,203.0.113.42,,,,login,False,UK
EVT-0708,2026-08-19 17:02:20,authentication,jsmith,203.0.113.42,,,,login,False,UK
EVT-0709,2026-08-19 17:02:40,authentication,jsmith,203.0.113.42,,,,login,False,UK
EVT-0710,2026-08-19 17:03:00,authentication,jsmith,203.0.113.42,,,,login,False,UK
EVT-0711,2026-08-19 17:03:20,authentication,jsmith,203.0.113.42,,,,login,False,UK
EVT-0712,2026-08-19 17:03:40,authentication,jsmith,203.0.113.42,,,,login,False,UK
EVT-0713,2026-08-19 17:04:00,authentication,jsmith,203.0.113.42,,,,login,False,UK
EVT-0714,2026-08-19 17:04:20,authentication,jsmith,203.0.113.42,,,,login,False,UK
EVT-0715,2026-08-19 17:05:00,authentication,jsmith,203.0.113.42,,,,login,True,UK
EVT-0548,2026-08-19 17:08:24,network,,10.0.1.11,10.0.2.11,22.0,TCP,connection,True,
EVT-0199,2026-08-19 17:36:00,authentication,mthomas,10.0.1.12,,,,login,True,UK
EVT-0409,2026-08-19 17:37:46,network,,10.0.1.14,10.0.2.10,80.0,TCP,connection,True,
EVT-0341,2026-08-19 17:44:00,authentication,agarcia,10.0.1.13,,,,login,True,UK
EVT-0389,2026-08-19 17:45:13,network,,10.0.1.13,10.0.2.12,443.0,TCP,connection,True,
EVT-0204,2026-08-19 17:46:00,authentication,jsmith,10.0.1.12,,,,login,True,UK
EVT-0297,2026-08-19 17:48:00,authentication,mthomas,10.0.1.13,,,,login,True,UK
EVT-0007,2026-08-19 17:51:00,authentication,admin01,10.0.1.13,,,,login,False,UK
EVT-0619,2026-08-19 18:08:10,network,,10.0.1.13,10.0.2.13,80.0,TCP,connection,True,
